time, trident1, trident2, trident3
21:14:31,0.0,0.0,0.0
21:15:31,0.0,0.0,0.0
21:16:31,0.0,0.0,0.0
21:17:31,0.0,0.0,0.0
21:18:31,0.0,0.0,0.0
21:19:31,0.0,0.0,0.0
21:20:31,0.0,0.0,0.0
21:21:31,0.0,0.0,0.0
21:22:31,0.0,0.0,0.0
21:23:31,0.0,0.0,0.0
21:24:31,0.0,0.0,0.0
21:25:31,0.0,0.0,0.0
21:26:31,0.0,0.0,0.0
21:27:31,0.0,0.0,0.0
21:28:31,0.0,0.0,0.0
21:29:31,0.0,0.0,0.0
21:30:31,0.0,0.0,0.0
21:31:31,0.0,0.0,0.0
21:32:31,0.0,0.0,0.0
21:33:31,0.0,0.0,0.0
21:34:31,0.0,0.0,0.0
21:35:31,0.0,0.0,0.0
21:36:31,0.0,0.0,0.0
21:37:31,0.0,0.0,0.0
21:38:31,0.0,0.0,0.0
21:39:31,0.0,0.0,0.0
21:40:31,0.0,0.0,0.0
21:41:31,0.0,0.0,0.0
21:42:31,0.0,0.0,0.0
21:43:31,0.0,0.0,0.0
21:44:31,0.0,0.0,0.0
